host,sitemap_url,tier1_status,tier2_status,loc_count,is_index,reachable,outcome
writingprogram.college.harvard.edu,https://writingprogram.college.harvard.edu/wp-sitemap.xml,200,200,5,True,True,tier1_ok
firstyearseminarprogram.college.harvard.edu,https://firstyearseminarprogram.college.harvard.edu/wp-sitemap.xml,200,200,6,True,True,tier1_ok
gened.college.harvard.edu,https://gened.college.harvard.edu/wp-sitemap.xml,200,200,4,True,True,tier1_ok
oie.fas.harvard.edu,https://oie.fas.harvard.edu/sitemap.xml,403,200,1179,False,True,needed_tier2
placement.college.harvard.edu,https://placement.college.harvard.edu/wp-sitemap.xml,200,200,3,True,True,tier1_ok
courses.my.harvard.edu,https://courses.my.harvard.edu/sitemap.xml,200,200,0,False,True,tier1_ok
handbook.college.harvard.edu,https://handbook.college.harvard.edu/sitemap.xml,403,200,3,False,True,needed_tier2
archaeology.harvard.edu,https://archaeology.harvard.edu/sitemap.xml,403,200,521,False,True,needed_tier2
celtic.fas.harvard.edu,https://celtic.fas.harvard.edu/sitemap.xml,403,200,177,False,True,needed_tier2
edsecondary.fas.harvard.edu,https://edsecondary.fas.harvard.edu/sitemap.xml,403,200,381,False,True,needed_tier2
emr.fas.harvard.edu,https://emr.fas.harvard.edu/wp-sitemap.xml,200,200,7,True,True,tier1_ok
ces.fas.harvard.edu,https://ces.fas.harvard.edu/wp-sitemap.xml,404,404,,,False,no_sitemap
ghhp.fas.harvard.edu,https://ghhp.fas.harvard.edu/sitemap.xml,403,200,474,False,True,needed_tier2
medieval.fas.harvard.edu,https://medieval.fas.harvard.edu/sitemap.xml,403,200,1523,False,True,needed_tier2
msi.harvard.edu,https://msi.harvard.edu/sitemap.xml,403,200,105,False,True,needed_tier2
mbb.harvard.edu,https://mbb.harvard.edu/sitemap.xml,403,200,986,False,True,needed_tier2
daviscenter.fas.harvard.edu,https://daviscenter.fas.harvard.edu/wp-sitemap.xml,404,404,,,False,no_sitemap
uraf.harvard.edu,https://uraf.harvard.edu/sitemap.xml,403,200,436,False,True,needed_tier2
oue.fas.harvard.edu,https://oue.fas.harvard.edu/wp-sitemap.xml,200,200,8,True,True,tier1_ok
incomingstudents.college.harvard.edu,https://incomingstudents.college.harvard.edu/sitemap.xml,403,200,30,False,True,needed_tier2
advising.college.harvard.edu,https://advising.college.harvard.edu/wp-sitemap.xml,200,200,6,True,True,tier1_ok
academicresourcecenter.harvard.edu,https://academicresourcecenter.harvard.edu/wp-sitemap.xml,200,200,7,True,True,tier1_ok
registrar.fas.harvard.edu,https://registrar.fas.harvard.edu/sitemap.xml,403,200,881,False,True,needed_tier2
